comments,url,address,zipCode,propertyCost,forSale,leaseEndsOn,lotSize,cashOnCash,initialInvestment,year,downPayment,annualizedReturnIn5Years,schoolRatings,roofstockRatingStars,nicheRating,nicheAreaFeel,nicheRentPercent,nicheOwnPercent,nicheMedianRent,nicheMedianHomeValue,nichePopulation,zillowEstimatedValue,"zillowRentEstimatePerMonth",zillowOwnerDescription,"zillowMedianNeighborHoodHomeValue",zillowLastSoldFor,zillowLastSoldOn
,"https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/253-dove-park-rd-columbia-29223/1749065","253 Dove Park Rd Columbia SC 29223",29223,"$159,924 ","For Sale",11/30/20,"12,830","-2.10%","$39,017 ",2001,"20%","6.90%","5 | 4 | 7",4.5,A,"Dense Suburban","45%","55%","$976 ","$145,600 ","50,870",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/2600-glen-haven-ct-prosper-75078/1779354","2600 Glen Haven Ct Prosper TX 75078",75078,"$489,900 ","For Sale",Vacant,"11,160","-8.20%","$109,248 ",2006,"20%","8.50%","9 | 9 | 8",5,A,Rural,"12%","88%","$1,506 ","$435,300 ","23,580",,,,,,
,"https://www.roofstock.com/investment-property-details/indianapolis-indiana/10430-apple-creek-way-indianapolis-46235/1743665","10430 Apple Creek Way Indianapolis IN 46235",46235,"$144,500","For Sale",03/31/2021,"4,835","-0.2%","$37,742",2005,"20%","3.0%","3 | 3 | 5",2.5,B-,"Dense Suburban","54%","46%","$722","$104,900","32,327",,,,,,
,"https://www.roofstock.com/investment-property-details/houston-texas/7658-belbay-st-houston-77033/1738140","7658 Belbay St Houston TX 77033",77033,"$170,000 ","For Sale",4/27/21,"12,197","1.50%","$37,910 ",1955,"20%","18.00%","3 | 2 | 5",2,B,"Sparse Suburban","38%","62%","$897 ","$64,100 ","29,903",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/9901-fox-hill-dr-fort-worth-76131/1779392","9901 Fox Hill Dr Fort Worth TX 76131",76131,"$319,900 ","For Sale",Vacant,"7,230","-3.80%","$71,338 ",2008,"20%","12.10%","5 | 7 | 6",4.5,A-,"Sparse Suburban","28%","72%","$1,456 ","$173,000 ","40,463",,,,,,
"Roof breaking property taxes(36%) in Columbia. Not Selected.","https://www.roofstock.com/investment-property-details/south%20carolina-south%20carolina/106-water-hickory-way-columbia-29229/1711976","106 Water Hickory Way Columbia SC 29229",29229,"$195,000 ","For Sale",4/18/21,"9,148","-5.90%","$43,485 ",2003,"20%","5.80%","10 | 4 | 4",4.5,A,"Sparse Suburban","30%","70%","$1,217 ","$167,600 ","50,866",,,,,,
,"https://www.roofstock.com/investment-property-details/dallas-texas/2909-oak-tree-dr-plano-75025/1779362","2909 Oak Tree Dr Plano TX 75025",75025,"$368,000 ","For Sale",Vacant,"7,840","-5.10%","$82,064 ",1996,"20%","11.10%","9 | 9 | 9",5,"A+","Dense Suburban","31%","69%","$1,417 ","$328,400 ","53,688",,,,,,
,"https://www.roofstock.com/investment-property-details/augusta-georgia/1018-ossabaw-ct-augusta-30906/1762608","1018 Ossabaw Ct Augusta GA 30906",30906,"$160,500 ","For Sale",12/2/21,"11,761","0.60%","$35,792 ",2002,"20%","12.50%","5 | 3 | 2",3,"C+","Suburban Rural Mix","43%","57%","$875 ","$85,200 ","58,114",,,,,,
"Too high price for my budget. And it�s a little far from Chicago City. Farther than Schamburg.","https://www.roofstock.com/investment-property-details/chicago-illinois/1221-bradley-cir-elgin-60120/1780261","1221 Bradley Cir Elgin IL 60120",60120,"$235,000 ",---,4/30/21,"750,974","-3.30%","$56,800 ",2005,"20%","5.60%","6 | 4 | 2",4,B,"Sparse Suburban","35%","65%","$1,059 ","$165,900 ","50,922",,,,,,
,"https://www.roofstock.com/investment-property-details/chicago-indiana/2420-marshalltown-ln-gary-46407/1780502","2420 Marshalltown Ln Gary IN 46407",46407,"$60,000","For Sale",11/30/2020,"5,009","7.8%","$61,904",1956,"100%","8.8%","1 | 1 | 1",1.0,C-,"Sparse Suburban","60%","40%","$703","$50,300","11,345",,,,,,
